                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.64671,                 0.7841,                 1.1756,                0.85616,                0.80373,                0.87217,                0.66929,                0.86212,                0.77867,                 1.3912,             0.00049504,             0.00049504,             0.00049504
                     71,                0.63397,                0.78265,                 1.1769,                 0.8705,                0.75304,                0.86078,                0.67773,                0.80287,                0.86726,                 1.3502,             0.00048904,             0.00048904,             0.00048904
                     72,                0.62679,                0.74655,                 1.1602,                0.87907,                0.84728,                0.89997,                0.68907,                0.80054,                0.77477,                 1.3429,             0.00048304,             0.00048304,             0.00048304
                     73,                0.63958,                0.72783,                 1.1717,                0.87334,                0.80326,                 0.8791,                0.70001,                0.79481,                0.81976,                 1.3794,             0.00047704,             0.00047704,             0.00047704
                     74,                0.62189,                0.80053,                 1.1706,                0.83557,                0.77543,                0.85792,                0.68385,                 0.7912,                0.84953,                 1.3436,             0.00047104,             0.00047104,             0.00047104
                     75,                0.61482,                0.75986,                 1.1565,                 0.8969,                0.79391,                0.87838,                 0.6781,                0.85059,                0.82387,                 1.3869,             0.00046504,             0.00046504,             0.00046504
                     76,                0.61047,                0.76892,                 1.1562,                0.88137,                0.79142,                0.87934,                0.68637,                0.81268,                0.81327,                 1.3731,             0.00045904,             0.00045904,             0.00045904
                     77,                0.62115,                0.77054,                 1.1631,                 0.7876,                  0.793,                0.83124,                0.65466,                0.80579,                0.92926,                 1.3754,             0.00045305,             0.00045305,             0.00045305
                     78,                0.61508,                0.75378,                 1.1548,                0.83506,                0.81939,                0.87643,                0.68898,                0.77514,                0.78825,                 1.3293,             0.00044705,             0.00044705,             0.00044705
                     79,                0.59436,                0.71446,                 1.1366,                0.90558,                 0.8025,                 0.9014,                0.72189,                0.74765,                0.78519,                 1.3131,             0.00044105,             0.00044105,             0.00044105
                     80,                 0.5927,                0.74638,                 1.1482,                0.86555,                0.76863,                0.85742,                0.65676,                0.81028,                0.88551,                 1.3824,             0.00043505,             0.00043505,             0.00043505
                     81,                 0.5696,                0.68105,                 1.1362,                0.87813,                0.82056,                0.87165,                0.67387,                0.79522,                0.84654,                 1.3447,             0.00042905,             0.00042905,             0.00042905
                     82,                 0.6173,                0.72745,                 1.1728,                0.86973,                0.83642,                0.89093,                0.70369,                 0.7872,                0.77188,                 1.3467,             0.00042305,             0.00042305,             0.00042305
                     83,                0.60515,                0.70939,                 1.1517,                 0.8604,                0.82071,                0.87449,                0.68184,                0.80532,                0.84971,                 1.3619,             0.00041705,             0.00041705,             0.00041705
                     84,                0.60204,                0.73732,                 1.1587,                0.89731,                 0.8191,                0.88871,                0.72068,                0.76334,                0.75487,                 1.3005,             0.00041105,             0.00041105,             0.00041105
                     85,                0.59673,                0.72323,                 1.1566,                0.82551,                0.85785,                0.88408,                0.69819,                0.78731,                0.77374,                 1.3359,             0.00040505,             0.00040505,             0.00040505
                     86,                0.58468,                0.70177,                 1.1243,                0.86064,                0.85901,                0.89335,                0.70894,                0.77996,                0.75185,                 1.3478,             0.00039905,             0.00039905,             0.00039905
                     87,                0.59501,                0.70135,                 1.1411,                0.89292,                0.81209,                0.89883,                0.71972,                0.75193,                 0.7422,                 1.3091,             0.00039305,             0.00039305,             0.00039305
                     88,                0.59052,                0.70638,                 1.1385,                0.88092,                0.79207,                0.88046,                0.71394,                0.77204,                0.76696,                 1.3418,             0.00038705,             0.00038705,             0.00038705
                     89,                 0.5639,                 0.6694,                 1.1203,                0.83181,                0.80182,                  0.866,                0.68674,                0.78461,                0.84346,                 1.3784,             0.00038105,             0.00038105,             0.00038105
                     90,                0.56219,                0.66363,                 1.1219,                0.87365,                0.81614,                0.87947,                0.70214,                0.79936,                0.82115,                 1.3644,             0.00037505,             0.00037505,             0.00037505
                     91,                 0.5858,                0.69449,                 1.1452,                0.85319,                0.84621,                0.89308,                0.71842,                0.77062,                0.76047,                 1.3331,             0.00036905,             0.00036905,             0.00036905
                     92,                0.56814,                 0.6771,                 1.1242,                0.85726,                 0.8301,                0.88635,                0.71311,                0.76154,                0.79253,                  1.314,             0.00036305,             0.00036305,             0.00036305
                     93,                0.55659,                0.65535,                   1.11,                0.82893,                0.88979,                0.90119,                 0.7345,                0.74263,                0.73128,                 1.3082,             0.00035706,             0.00035706,             0.00035706
                     94,                0.54181,                0.63528,                   1.11,                0.86446,                0.78845,                0.88037,                0.70631,                0.77044,                0.79326,                 1.3015,             0.00035106,             0.00035106,             0.00035106
                     95,                0.55436,                0.63422,                 1.1174,                0.89049,                0.82413,                0.89283,                0.71246,                0.77947,                0.77318,                 1.3002,             0.00034506,             0.00034506,             0.00034506
                     96,                0.56611,                 0.6625,                 1.1201,                0.86712,                0.82609,                0.87555,                0.69685,                0.75425,                0.78052,                 1.3047,             0.00033906,             0.00033906,             0.00033906
                     97,                0.55834,                0.63929,                 1.1243,                0.87044,                0.83092,                0.89319,                0.69983,                0.79442,                0.81406,                 1.3671,             0.00033306,             0.00033306,             0.00033306
                     98,                0.54568,                0.65351,                 1.1144,                0.84893,                0.82937,                0.86823,                0.68641,                0.78312,                0.81466,                  1.333,             0.00032706,             0.00032706,             0.00032706
                     99,                0.55938,                0.66935,                 1.1198,                0.89322,                0.85116,                0.90289,                0.71775,                0.75905,                0.73829,                 1.3306,             0.00032106,             0.00032106,             0.00032106
                    100,                0.54987,                0.63915,                 1.1044,                0.88542,                0.83112,                0.90548,                 0.7186,                0.76787,                0.73512,                 1.3363,             0.00031506,             0.00031506,             0.00031506
                    101,                0.52498,                0.61297,                 1.1007,                 0.8679,                0.85333,                0.89961,                0.71472,                0.77466,                0.78079,                 1.3361,             0.00030906,             0.00030906,             0.00030906
                    102,                 0.5328,                 0.6171,                 1.1015,                0.87378,                0.82496,                0.88337,                0.69486,                0.79021,                 0.7917,                  1.366,             0.00030306,             0.00030306,             0.00030306
                    103,                0.54432,                0.60634,                 1.1149,                0.83922,                 0.8484,                0.89753,                0.71174,                 0.7811,                0.75862,                 1.3433,             0.00029706,             0.00029706,             0.00029706
                    104,                0.53544,                0.60776,                 1.1108,                0.88009,                0.81607,                 0.8721,                0.70273,                0.78227,                0.79537,                 1.3594,             0.00029106,             0.00029106,             0.00029106
                    105,                0.53884,                0.62432,                 1.1123,                0.88408,                0.84403,                0.89027,                0.71231,                0.74744,                0.72004,                 1.3037,             0.00028506,             0.00028506,             0.00028506
                    106,                0.52449,                0.60683,                 1.1028,                0.89713,                0.78224,                0.89082,                0.71899,                0.76953,                0.79099,                 1.3084,             0.00027906,             0.00027906,             0.00027906
                    107,                 0.5305,                0.58342,                 1.1062,                0.83379,                0.86032,                0.88581,                0.71149,                0.74125,                0.77486,                 1.3028,             0.00027306,             0.00027306,             0.00027306
                    108,                0.51829,                0.57047,                  1.091,                0.86132,                0.85836,                0.88353,                0.70524,                0.77397,                0.76007,                 1.3278,             0.00026706,             0.00026706,             0.00026706
